eval,gain_dB,ugb_Hz,pm_deg,power_uW,cost,W1,L1,W3,L3,W5,L5,W7,L7,W11,L11,Cc_val,Rz_val
1,87.1187,422094.0,60.925,9.821736000000003,-60.925,5.0,14.0,2.0,2.0,5.0,1.0,5.5,2.0,11.4,14.0,3.5e-12,30000.0
2,87.2186,428664.0,60.507999999999996,9.824256000000002,-60.507999999999996,5.25,14.0,2.0,2.0,5.0,1.0,5.5,2.0,11.4,14.0,3.5e-12,30000.0
3,87.0566,415750.0,61.147999999999996,9.819396000000001,-61.147999999999996,5.0,14.700000000000001,2.0,2.0,5.0,1.0,5.5,2.0,11.4,14.0,3.5e-12,30000.0
4,87.1076,422114.0,60.915000000000006,9.821736000000003,-60.915000000000006,5.0,14.0,2.1,2.0,5.0,1.0,5.5,2.0,11.4,14.0,3.5e-12,30000.0
5,87.1859,422075.0,60.900999999999996,9.821754,-60.900999999999996,5.0,14.0,2.0,2.1,5.0,1.0,5.5,2.0,11.4,14.0,3.5e-12,30000.0
6,87.2064,423763.0,61.480000000000004,9.821754,-61.480000000000004,5.0,14.0,2.0,2.0,5.25,1.0,5.5,2.0,11.4,14.0,3.5e-12,30000.0
7,86.9904,420647.0,60.441,9.8217,-60.441,5.0,14.0,2.0,2.0,5.0,1.05,5.5,2.0,11.4,14.0,3.5e-12,30000.0
8,86.9141,425695.0,62.182,10.240865999999999,-59.77334000000002,5.0,14.0,2.0,2.0,5.0,1.0,5.775,2.0,11.4,14.0,3.5e-12,30000.0
9,87.4211,420466.0,60.327,9.637920000000001,-60.327,5.0,14.0,2.0,2.0,5.0,1.0,5.5,2.1,11.4,14.0,3.5e-12,30000.0
10,87.1454,432233.0,60.42400000000001,9.968004,-60.42400000000001,5.0,14.0,2.0,2.0,5.0,1.0,5.5,2.0,11.97,14.0,3.5e-12,30000.0
11,87.0872,412344.0,61.414,9.687042000000002,-61.414,5.0,14.0,2.0,2.0,5.0,1.0,5.5,2.0,11.4,14.700000000000001,3.5e-12,30000.0
12,87.0238,406048.0,62.025000000000006,9.821736000000003,-62.025000000000006,5.0,14.0,2.0,2.0,5.0,1.0,5.5,2.0,11.4,14.0,3.675e-12,30000.0
13,87.1187,422461.0,61.69499999999999,9.821736000000003,-61.69499999999999,5.0,14.0,2.0,2.0,5.0,1.0,5.5,2.0,11.4,14.0,3.5e-12,31500.0
14,87.3634,415363.0,59.75,9.375066,-47.25,5.041666666666666,14.116666666666664,2.0166666666666666,2.0166666666666666,5.041666666666666,1.0083333333333333,5.225,2.0166666666666666,11.495000000000006,14.116666666666664,3.5291666666666676e-12,30250.0
15,87.0284,423244.0,61.620000000000005,10.024596,-61.374039999999994,5.010416666666666,14.029166666666665,2.0041666666666664,2.0041666666666664,5.010416666666666,1.0020833333333332,5.6375,2.0041666666666664,11.423750000000002,14.029166666666665,3.507291666666667e-12,30062.5
16,86.9299,421686.0,62.031000000000006,10.084626,-61.184740000000005,5.043402777777777,14.121527777777782,2.0173611111111116,2.0173611111111116,5.043402777777777,1.0086805555555558,5.522916666666667,1.900694444444444,11.49895833333334,14.121527777777782,3.5303819444444454e-12,30260.416666666664
17,87.0271,407386.0,62.134,9.730476,-62.134,5.050636574074074,14.141782407407408,2.0202546296296298,2.0202546296296298,5.050636574074074,1.0101273148148149,5.526736111111111,1.9841435185185183,10.850451388888894,14.141782407407408,3.535445601851853e-12,30303.819444444438
18,86.952,394276.0,63.019000000000005,9.613206,108.701,5.075954861111111,14.212673611111114,2.0303819444444446,2.0303819444444446,5.075954861111111,1.0151909722222223,5.540104166666666,1.9762152777777775,10.290677083333339,14.212673611111114,3.5531684027777793e-12,30455.729166666657
19,87.1281,417288.0,62.411,9.858690000000001,-62.411,5.059076003086419,14.165412808641975,2.023630401234568,2.023630401234568,5.059076003086419,0.9534818672839507,5.5311921296296305,1.9815007716049382,11.328859953703708,14.165412808641975,3.5413532021604947e-12,30354.45601851852
20,87.1367,415607.0,63.416,9.880758,-63.416,5.08861400462963,14.248119212962962,2.035445601851852,2.035445601851852,5.08861400462963,0.9052228009259262,5.546788194444446,1.972251157407407,11.293289930555563,14.248119212962962,3.5620298032407424e-12,30531.68402777778
21,86.9146,406575.0,62.793000000000006,9.866411999999999,-62.793000000000006,4.7821783371913575,14.206766010802472,2.0295380015432096,2.0295380015432096,5.073845003858024,0.9876856674382717,5.538990162037038,1.9768759645061724,11.31107494212963,14.206766010802472,3.5516915027006193e-12,30443.070023148146
22,86.9285,411102.0,62.68600000000001,9.876546,-62.68600000000001,4.995874726723251,14.24122701260288,2.0344610018004117,1.917794335133745,5.086152504501028,0.9856332786779836,5.545488522376544,1.9730219585905346,11.296254099151236,14.24122701260288,3.5603067531507216e-12,30516.915027006173
23,87.0125,409257.0,62.968,9.88587,-62.968,4.995187181177126,14.28143151470336,1.9235378354338128,2.004093390989369,5.100511255251201,0.983238825124314,5.553069942772636,1.9685256183556237,11.278963115676442,14.28143151470336,3.5703578786758413e-12,30603.0675315072
24,86.9816,407158.0,63.298,9.899298000000002,-63.298,4.994385044706647,14.328336767153917,2.0107941413394483,2.0047756228209304,5.1172631311264,0.9804452959783667,5.561914933234741,1.9632798880815607,11.258790301622517,14.328336767153917,3.582084191788482e-12,30703.578786758408
25,87.0297,412028.0,63.438,9.914328000000001,-63.438,4.993449218824422,13.566392895012902,2.012593164896024,2.005571559957752,5.136806986314133,0.9771861786414278,5.572234088773863,1.9571598694284877,11.23525535189294,14.383059561679573,3.595764890419896e-12,30820.841917884805
26,87.0102,410205.0,64.545,9.964404,-64.545,4.990173828236632,12.999589342519354,2.0188897473440353,2.0083573399366283,5.205210479471198,0.9657792679621418,5.608351133160795,1.9357398041427318,11.152883027839412,14.57458934251936,3.643647335629844e-12,31231.26287682721
27,87.208,404372.0,63.062,9.654912000000001,-63.062,4.941174949456453,13.957875378025385,1.9954868264903993,1.98670982031756,5.1203721588185935,0.9613554084869695,5.563556499856219,2.0623063182670918,11.078617800977282,14.337042044692048,3.5842605111730163e-12,30722.232952911567
28,87.0691,399615.0,63.595,9.624402,-52.045,4.962620774365863,14.038354607696292,2.007234630905467,1.9969947903704872,5.17168418528836,0.9611646432347982,5.4366492498322545,1.9685240379782734,11.096304101140163,14.480715718807396,3.6201789297018535e-12,31030.10511173016
29,87.0439,417238.0,62.126000000000005,9.922428,-62.126000000000005,4.998467693591465,14.03146365192407,2.0049336577263666,2.0023736975926214,5.050733546322089,0.9918536608086994,5.587287312458064,1.9952560094945682,11.341888525285043,14.142053929701849,3.5355134824254636e-12,30304.401277932542
30,87.0208,411347.0,63.929,10.003032000000001,-63.89867999999999,4.972782056631106,14.072765216350302,2.0122235738598606,2.0015570733025907,5.190556443008708,0.9618902533695814,5.588697135241935,1.9719000395607011,11.11036885535434,13.716891373757706,3.6333895101060984e-12,31143.338658052242
31,86.843,397963.0,64.269,9.896346,-3.159000000000006,4.968245732736291,14.084892752408688,2.0142608361698375,2.0018165855196886,4.930649183510157,0.9555386289311782,5.60347999111559,1.967216712820818,11.062096997913395,14.36970660271733,3.65562109512378e-12,31333.895101060953
32,87.1233,417202.0,62.188,9.839286,-62.188,4.992061433184073,14.021223188102173,2.0035652090424594,2.000454146379922,5.170162295877539,0.9888846572327945,5.525869997778898,1.9918041782052045,11.315524249478349,14.092426650679332,3.538905273780945e-12,30333.473775265236
33,86.9493,398102.0,64.099,9.900053999999999,-7.159000000000006,4.96692263826697,14.088429950425716,2.014855037676914,2.0018922765830096,5.209009566156416,0.9536860718033104,5.607791657412072,1.965850742521686,11.048017706159788,14.385111044497219,3.662105307420604e-12,29639.474063605165
34,87.0788,416390.0,62.32599999999999,9.841248,-62.32599999999999,4.991730659566743,14.02210748760643,2.0037137594192282,2.0004730691457526,5.052252391539104,0.9884215179508276,5.526947914353018,1.9914626856304216,11.312004426539946,14.096277761124306,3.540526326855151e-12,31034.86851590129
35,87.0591,416446.0,63.79600000000001,9.904122000000001,-63.79600000000001,4.9655444148614265,14.092114531693454,2.015473997580119,2.0019711214406346,5.217718298079598,0.9517563247951151,5.612282976470908,1.9644278567934226,11.033351777249779,14.401157338017935,3.464693028563129e-12,31311.95214958871
36,87.0364,404841.0,64.035,9.796428,-64.035,4.961589508148286,14.070759359730946,2.0122970631627113,1.9995303278226828,5.194815543717095,0.9532197746508184,5.5291616080149835,1.964033821848663,11.040040460625523,14.302287309702095,3.5923761371606115e-12,31175.476016932174
37,87.0145,414012.0,64.392,9.998064,-64.392,4.8945794500113795,13.948603429634865,1.9956498301816277,1.9781953454845165,5.218942344238945,0.9254615306173706,5.590117058845914,1.9717946967130708,11.563075775644444,14.329309649045651,3.6019324402856805e-12,31321.333945834922
38,86.94,404007.0,64.667,9.918846,-64.667,4.936907593705932,14.057059355862215,2.0110200209586604,1.9942860285849897,5.107546630495717,0.9361336670968199,5.601691015689298,1.9607991234443625,11.13926150274934,14.418145905501454,3.6089772961073784e-12,31456.32297677573
39,86.839,397442.0,65.883,9.962927999999998,10.857,4.909330673966862,14.074977439742234,2.0147474269167605,1.9912019696875234,5.076238797804805,0.9097581720288326,5.6396015246444975,1.9452965960639412,11.051130129384834,14.581005532912513,3.644013307270595e-12,32017.747577530972
40,86.9547,402603.0,64.898,9.93186,-64.898,4.928101189679795,14.062000367733923,2.0120891808384638,1.9932359323923654,5.234672241326917,0.9278821645697852,5.613070282671224,1.9560300223214684,11.113990838389306,14.467939485786001,3.6187647379085433e-12,30825.170646285413
41,86.8776,395568.0,66.132,9.982188,66.828,4.896286454736321,14.08194680779767,2.016276891548081,1.9896173640156718,5.325882166220824,0.8976124878792642,5.6561314668303275,1.938313690666992,11.014984044313984,14.65377034811685,3.6578839434352394e-12,30720.321711477474
42,87.0751,406475.0,64.916,9.900684,-64.916,4.912661533016044,13.813009735259314,1.9776133016302886,2.088488265947477,5.225525417835975,0.9210452181579298,5.605793301363477,1.9716387599831782,11.099363955651024,14.360775646504617,3.608727309072609e-12,31394.500071727067
43,87.111,404057.0,66.001,9.913698000000002,-66.001,4.871054936162441,13.598901096587532,1.9491894515452266,2.173835231354343,5.2952118745034475,0.8887511878979031,5.635945690856943,1.9709471606794997,11.000918883900919,14.420549963455485,3.632937587033552e-12,31833.292594087514
44,87.1153,410019.0,65.378,9.918774,-65.378,5.141170689043118,13.7461599180239,1.9691448768878268,2.0007941378398675,5.274727396919884,0.9025037494742472,5.628450916506301,1.966796620096428,11.03285043630118,14.43086730708053,3.630883573578201e-12,31700.04883740833
45,87.0714,408054.0,65.584,9.904482000000002,-65.584,4.952492429701682,13.5822824813431,2.0827462165728927,2.025688872868791,5.277097169138155,0.893494745846527,5.626934631392981,1.9748587998704439,11.02394348285849,14.38110776857583,3.6223048134200373e-12,31722.88154669947
46,86.9641,413932.0,66.003,10.217736,-63.82563999999999,5.008390908129892,13.843239801907366,2.025340457196722,2.049568952299139,5.283357100624023,0.9040680520437976,5.627011096232193,1.8665035135595343,11.215176411204522,14.33284152590111,3.6147428979640343e-12,31770.490890926412
47,87.0804,412088.0,66.152,9.994049999999998,-66.152,4.957515123450241,13.391928918571068,2.0124575283238855,2.038968704708804,5.314148456565819,0.8722486238966389,5.639502023353245,1.9494005479913943,11.027734928822957,14.342297596563768,3.6223623350444934e-12,31966.963741107582
48,87.0782,414528.0,67.568,10.040148,-67.16651999999999,4.939080162822037,12.923724994279645,2.0132892218161036,2.056065245652741,5.41259111928553,0.8181502878557749,5.678295568412498,1.9424608779463108,10.912207242423175,14.349278011268694,3.642501406672499e-12,32598.656218282165
49,86.9269,403359.0,66.692,10.041444,-66.27756,4.838363856559324,13.251414102981471,1.984113337805523,2.011735332978029,5.396793768838576,0.9329590334373876,5.676546657804883,1.9354642320886986,10.929721518534507,14.439374950472345,3.655828657497525e-12,32483.35386517227
50,86.9983,401200.0,66.786,10.037772,-66.40827999999999,4.940236686610511,13.267302046132315,1.9988581654481568,2.0468371819788134,5.297535387181767,0.8832926276752442,5.621762489334081,1.9384602619185625,11.172387962054414,14.292706427493108,3.785021370330872e-12,31898.31936262526
51,87.1669,401004.0,64.793,9.717714,-64.793,4.886031156422149,13.42018714995589,1.9845779905401262,1.9987840560669214,5.234259632396968,0.9275183296984693,5.6061596017564455,2.048377396545623,10.983431919907988,14.354333056541936,3.66335124632444e-12,31461.085366570696
52,87.0303,401758.0,66.914,9.867438,-66.914,4.907181524552776,13.081898724447221,1.9930872766570316,2.0463337655241904,5.334344154910328,0.8639674744274999,5.647383973832456,1.9557270967086091,11.067083319850441,15.076523489149382,3.649698256885434e-12,32141.19538419795
53,87.0295,407760.0,67.32,10.075932,-66.56067999999999,4.909306075769676,12.919094475185958,1.9898121562699003,2.0561610839543505,5.353339822734146,0.8577625697757099,5.726623228695655,1.9622088602306382,11.14191885778341,14.620166916446209,3.700265316451723e-12,32270.011253195655
54,87.0375,396541.0,67.47,9.887004000000001,36.3,4.978770571532966,12.869665579540555,2.005486443599029,2.0904903560374897,5.351612601961497,0.8742376536688812,5.688418806173011,1.9528503459524913,10.548690723120986,14.641620788336073,3.707097826020994e-12,32282.266208853027
55,87.0351,409930.0,65.157,9.970505999999999,-65.157,4.915627230391776,13.678868967111288,1.998108983535978,2.0062690981227598,5.252109908669583,0.9126555613802483,5.614692495677689,1.967058609022926,11.30947951251358,14.407387433868257,3.628223786719509e-12,31561.567011589446
56,87.0139,400989.0,67.381,9.918828000000001,-67.381,4.870751760333571,13.931892937421384,1.9787830658019456,2.0599803212830663,5.3731610382623085,0.8250659652271277,5.671241625610946,1.9941250393361964,10.984982885038377,14.368474110087181,3.662812339191775e-12,32427.38796698777
57,86.9294,396275.0,68.789,9.904338000000001,42.961,4.811040726382039,14.3980447348724,1.958729725030901,2.0857918119562857,5.457136317657863,0.7547093138596206,5.702686871836022,2.023317656932929,10.901032813637862,14.265416493871093,3.672394840972742e-12,33025.450512068055
58,87.1229,406743.0,67.688,9.963719999999999,-67.688,4.912992022635544,12.853561854338391,1.9812799663278686,2.0850006814177173,5.515093955198886,0.836200282447501,5.689493511402718,1.9746200393498716,10.972891307176623,14.516638914536038,3.7064548858949726e-12,32364.172032074595
59,87.1527,408173.0,69.143,9.98676,-69.143,4.901034237100351,12.251813103576481,1.9664099390124727,2.130358007834081,5.718867617550469,0.7862335901228414,5.733394759259429,1.981530497302626,10.889706209390265,14.56588541905333,3.7551936807887694e-12,32818.09655972403
60,86.9954,411126.0,68.397,10.244321999999999,-65.95378000000002,4.966368973365695,13.295705052514819,2.004693988158461,2.1024316458969787,5.469148950823218,0.8212681632499135,5.7062307849194,1.8759006163747776,11.113099938265021,14.615710490580781,3.667388008088632e-12,32585.57817447184
61,87.1159,411218.0,68.846,10.052478,-68.32122,4.9306769040557,12.526175948866932,1.9759502657467896,2.126179055155637,5.507815793475984,0.8031353281586189,5.714846854379319,1.9548930896078174,10.982392536429654,14.526732562135848,3.720078394867879e-12,33514.89414945486
62,87.0549,403310.0,69.16,10.02996,-68.86039999999998,4.945659142287706,12.717191846448838,1.9862373434177438,2.1331308822640547,5.532995773601051,0.8001085591445507,5.729917034489793,1.9418369163371754,10.732389366291397,14.60717546876486,3.725928447414975e-12,33104.05230712841
63,86.9357,402274.0,69.546,10.098054000000001,-68.56546,4.687530425843795,12.478406216940382,2.018050194487548,2.1606619666176448,5.5534230147976125,0.7931945059956025,5.733069633325096,1.9379389546371315,10.958941597502166,14.613080289166646,3.739109472862412e-12,33199.5710595962
64,86.9934,403558.0,70.018,10.146419999999999,-68.55380000000001,4.8320483512089165,12.45830427622073,1.8936661844549247,2.15826274721353,5.5971075501892535,0.7854868029815019,5.7522750854271045,1.9237234673242303,10.957014903385469,14.70150191443648,3.767155676260972e-12,33422.85326912117
65,87.1459,399357.0,67.532,9.805986,-48.242,4.795785037185439,12.605314908999997,1.9532137789187667,2.0908251577381005,5.426382201731862,0.8517498255333804,5.680652981985302,2.0306521259781385,10.841844275499012,14.48119776307415,3.738700426287765e-12,32699.70249045702
66,87.0261,408108.0,68.17,10.12914,-66.8786,4.9237229893206305,13.123107516636114,1.9918239358485375,2.099530023857259,5.458457263550379,0.8288885788207803,5.699836334185876,1.914588493775618,11.045286022573519,14.582082308704123,3.685216112638415e-12,32614.109253468137
67,86.9304,407092.0,70.258,10.159074000000002,-68.66725999999997,4.899877083248391,12.22281993493538,2.015824062915886,2.007037371031223,5.627526842892786,0.774289699372537,5.761586516602579,1.9262124705227692,10.961419852975215,14.703280347740883,3.781863934943656e-12,33582.124180738116
68,86.9273,408295.0,70.23,10.049688000000002,-69.73311999999999,4.942820367299687,12.398874567200426,1.986185297507316,2.168354275749736,5.564400460900027,0.7036369648222438,5.7351588594542555,1.9601534388525823,11.037900274081746,14.728439593602111,3.779978744054039e-12,33115.191295581004
69,86.3889,410778.0,72.108,10.054854,-71.55946,4.995048622669868,11.972604799309906,1.9872212773582127,2.246663747135589,5.648203806930752,0.588975930514672,5.764464960278943,1.9724980422345242,11.091989651855364,14.872971915166993,3.8420537873322955e-12,33431.11001078537
70,86.921,411962.0,70.897,10.059516,-70.30184,4.85008285992506,12.167203749579183,1.9695009885163586,2.166556854275081,5.722103579181665,0.7042505877242922,5.81372677308253,1.9628303724087122,10.781834112195329,14.971819031193665,3.660291434054262e-12,33955.690906154705
71,86.91,405788.0,70.982,10.014804000000002,-70.83395999999999,4.871142934791791,12.390096199591074,1.975161803069025,2.1756322473529996,5.727759769703875,0.7041953152819234,5.723383291118773,1.9391853594596484,10.75228909220165,14.702967228031806,3.7383851742005e-12,33864.945624410844
72,86.9415,405391.0,70.615,9.941165999999999,-70.615,4.847962678819362,12.06391460530008,1.9703730013604699,2.1449470113660487,5.667526079913223,0.7122870956470437,5.754094678450699,1.990905203528674,10.800089105682899,14.761199322328512,3.7622958882741565e-12,33729.32035262881
73,86.753,412875.0,72.498,10.214622000000002,-70.35177999999999,4.854634335964983,11.935459377631116,1.9653239480025486,2.2145788106727595,5.84716950938709,0.6519281369102479,5.824332156240493,1.9556296183990272,10.733792772711384,14.214204114079775,3.816580015925259e-12,34466.921716637466
74,86.7695,399422.0,72.59,10.074366,-54.50634000000001,4.8086613932195466,11.928922171690605,1.9371277905412172,2.231266258047545,5.841352276695481,0.6700416316577185,5.817759992965119,1.9710906272367779,10.858933105186686,14.918937275762303,3.85278996768032e-12,34320.83846561247
75,87.0513,410680.0,68.847,10.046376,-68.38323999999999,4.906475470421414,12.675024288632386,1.9942488639973819,2.0998654987514422,5.519781408638018,0.7811231238062608,5.713161674550653,1.9496183152689275,10.898888708114054,14.491692827392097,3.695073546924454e-12,33029.201780114745
76,86.7865,415632.0,73.082,10.222506000000001,-70.85693999999998,4.882943747389319,10.711276120417363,1.9742115795879478,2.233998711995282,5.905219086114652,0.6558021473828879,5.831800610589957,1.9120086785023478,10.771808433084093,14.920277629827972,3.83785590311649e-12,34592.40901909468
77,86.6705,404667.0,72.309,10.11096,-71.1994,4.815063077556129,11.814509804230227,1.9767545986166297,2.185769920929319,5.836798213007421,0.6531772543221082,5.807687674523354,1.9440932263798154,10.739301431135225,14.827610022394651,3.8002194321484866e-12,33684.488648234226
78,86.7128,404516.0,72.869,10.126728,-71.60172,4.824029112379531,11.52224238373108,1.9555402894692464,2.226400881029827,5.877668731906958,0.653865147093774,5.825127187680803,1.9484471525705205,10.796207379954353,14.918635956305497,3.8427485942959176e-12,34279.395495594275
79,86.3261,401516.0,74.829,10.166634,-73.16265999999999,4.782805933358588,10.945851431280424,1.9361860022051784,2.2896685721690186,6.056612393541428,0.5902361587375307,5.881109944245878,1.947861571221317,10.744866715874501,15.132107520762197,3.916586117981649e-12,34904.49235333403
80,86.5707,411116.0,72.569,10.027691999999998,-72.29208000000003,4.890249161950308,11.486886921986013,2.0632096053034124,2.1899046033936544,5.876926730914418,0.6169596938778714,5.807486253274147,1.9783650178313987,10.702723153431114,14.7805944703154,3.795571538579514e-12,34132.68385395664
81,86.3815,413244.0,73.59,10.064484000000002,-72.94515999999999,5.068553543333181,11.301531765440632,1.9463521637400998,2.19237915678554,5.974528552325527,0.579879522177482,5.839094475367666,1.9708872077175412,10.658093385302573,14.896935125776693,3.833028086264257e-12,34511.48486254168
82,86.2921,409831.0,73.392,9.989748,-73.392,4.884319629276051,11.403570019196511,1.9369996454491303,2.3768940499976816,5.958258342469142,0.5663826326013714,5.823495585217698,1.9900594813643657,10.605060718550753,14.839010863541759,3.798800982736447e-12,34283.82518836703
83,84.9326,410203.0,74.93,9.91377,-74.93,4.876540902289882,10.993945061327075,1.8975874367157521,2.561822389480911,6.1236240922573195,0.4624290992157887,5.854450119525257,2.021982986785164,10.42688115133852,14.906876121442195,3.807269506632843e-12,34634.67569218148
84,85.1923,415406.0,75.45,10.095948,-74.49052,4.827017863570431,10.621990310162762,1.951811380496941,2.322249123300993,6.151227464870255,0.4842838628412309,5.8759205815030615,1.987792713957957,10.783173169409089,14.985065851297337,3.868293313468105e-12,35017.00095948558
85,84.4174,410534.0,76.513,10.16118,-74.9012,4.8593067065027995,10.815731920799493,1.9692056918162906,2.357003850308785,6.037415595474133,0.4478338773160051,5.896197160440698,1.9491428357683955,10.608100819646694,15.096219306382867,3.857878018874199e-12,35669.44077351688
86,85.2604,408224.0,75.684,10.102248000000001,-74.66151999999998,4.911795391441048,10.675095970000179,1.9660654261957262,2.3525461698734027,6.086731636558348,0.48708076131317335,5.82961021117729,1.9655617045555895,10.687017368083525,14.711019073440735,3.9857113630786964e-12,34817.47140497991
87,85.6341,406144.0,74.629,9.938862,-74.629,4.916770757980469,10.696779774009755,1.9703660464083992,2.327518773342499,6.001592727548134,0.5119286495277051,5.819884503842127,1.9744178062580349,10.727262806796157,15.55143648378145,3.857611339066607e-12,34364.66554255422
88,83.9123,412354.0,77.043,10.206,-74.983,4.934910428319608,10.340468741125736,1.9653158338917995,2.427579199645284,6.23691393162782,0.4181766164376859,5.901086952530492,1.9363943215832826,10.648828757343514,15.136147469108206,3.927781375183116e-12,35208.157771550425
89,80.5756,411419.0,79.292,10.343502,-75.85698,4.978384303069731,9.478745809038564,1.9627872501574641,2.5688952937849017,6.521607857485119,0.27112137683300697,5.974583089570389,1.9091388806105867,10.573198583173824,15.323621542498053,4.010524118637597e-12,35947.57648101123
90,82.5538,413383.0,78.004,10.181826000000001,-76.18574,4.929603733726834,9.529062081742659,1.9584646066979836,2.4624378047303157,6.308988256467378,0.3540894070613203,5.973664972937688,1.9831064191774637,10.666780352653465,15.297821949149284,3.9970485799962894e-12,35419.63764253515
91,73.8989,405987.0,81.1028,10.26603,-78.4425,4.958834133194355,8.098545022818449,1.9501160085124631,2.605840583418974,6.59960249984913,0.1790364529510189,6.098805813847145,2.0050669490363715,10.624025982879374,15.595249309708024,4.1263802828941834e-12,36196.9836515973
92,81.8701,402309.0,77.205,9.991764,-77.205,4.930451318763479,10.772426977983216,1.9553989016664803,2.4660449853253157,6.247259509012347,0.3230216258883777,5.909748520676036,2.025792811890435,10.622630603403572,15.193006827333132,3.945665247709915e-12,34959.603353268416
93,80.5803,411588.0,78.395,10.075392,-77.64107999999999,5.017563362131229,9.495512823129186,1.949296599812774,2.560986287123945,6.384090598120398,0.2706205808768689,5.950871597768083,2.00732486159807,10.63569246739716,15.346573902256193,4.007542687938157e-12,36080.04284163455
94,80.9033,406447.0,79.613,10.13346,-78.2784,4.841330273594382,8.924569165352718,1.9325091414802849,2.552479550915735,6.695332802728673,0.2817626797446713,6.025162084927352,1.9847245156372861,10.206954715933989,15.380145673998722,3.993289816188658e-12,36774.91028422494
95,77.5186,402035.0,80.3175,10.179072000000001,-78.52677999999997,4.937976586254621,8.983234083237729,1.8347374028978964,2.6696678525780158,6.603010890714048,0.19791274735927167,6.018420097207683,1.9799174563413935,10.513593141442053,15.572448319464197,4.072725111209631e-12,36513.707512765075
96,0,0,0,20.0,16400.0,4.961840298406777,7.731407663863585,1.7205013016951387,2.909549477170197,6.9660529706138625,-0.011610725900028207,6.12388701917445,1.9806936755963909,10.419028135447522,15.968375244038597,4.211301897524689e-12,37704.219342169294
97,71.9118,389953.0,81.1624,10.160082000000001,221.84842000000003,4.737909378691988,8.782206292749294,1.9329923843208427,2.7467414151515426,6.610156125701028,0.1713317899232928,6.016699478754168,1.9889003078925596,10.53413953559384,15.568693196284158,4.075218067682449e-12,36468.610279217246
98,85.1307,412066.0,75.731,10.087866,-74.85234,4.985892502172883,10.671700397267799,1.9430122188852854,2.3309697213770404,6.133435445669402,0.47774258911393463,5.883495726214292,1.9753904827612958,10.62710492287539,15.06487464340356,3.893575581618804e-12,35000.766216710574
99,0,0,0,20.0,16400.0,5.05750475013563,9.092194787907395,1.9442962486357809,2.6563355246360674,6.540876126506456,0.14222622509264493,5.975081640204026,2.0165140963121133,10.427739239522058,15.32231532173888,3.987824946571248e-12,36091.64843232099
100,85.0654,406705.0,76.37,10.136502000000002,-75.00497999999999,4.851480637552848,10.482437270437167,1.938213563812829,2.381335310285781,6.177678326782685,0.4782336753263092,5.904602868235415,1.965024702494016,10.665584846786391,15.179659471006367,3.934395825129049e-12,35201.28137308077
